trisk,df,logLik,AIC,BIC,Method,Cancer,Age,Sex,Stratification,Adjustment,Database
98809.65753424658,2,-35950.72279577441,71905.44559154882,71921.71756594637,Log-logistic,Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,2,-35905.34908153238,71814.69816306476,71830.97013746231,Log-normal,Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,3,-35885.55280941097,71777.10561882194,71801.51358041826,Generalised Gamma,Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,3,-35893.155663812024,71792.31132762405,71816.71928922037,Spline (1 knot),Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,5,-35880.553243582195,71771.10648716439,71811.78642315826,Spline (3 knots),Colorectal,All,Male,Sex,None,CPRD_GOLD
13624.4,2,-4322.904897848623,8649.809795697245,8661.982616247893,Gompertz,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,2,-4314.676758020946,8633.353516041892,8645.52633659254,WeibullPH,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,1,-4461.619946454199,8925.239892908397,8931.326303183721,Exponential,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,2,-4293.038726272754,8590.077452545507,8602.250273096155,Log-logistic,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,2,-4270.651560490724,8545.303120981447,8557.475941532095,Log-normal,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,3,-4269.930968762067,8545.861937524134,8564.121168350106,Generalised Gamma,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,3,-4271.912433677929,8549.824867355857,8568.08409818183,Spline (1 knot),Head_and_neck,All,Female,Sex,None,CPRD_GOLD
13624.4,5,-4260.594619822385,8531.18923964477,8561.621291021389,Spline (3 knots),Head_and_neck,All,Female,Sex,None,CPRD_GOLD
29742.55890410959,2,-10246.344476317352,20496.688952634704,20510.50904415765,Gompertz,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,2,-10235.619894876885,20475.23978975377,20489.059881276717,WeibullPH,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,1,-10509.327740390843,21020.655480781686,21027.56552654316,Exponential,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,2,-10185.97032125095,20375.9406425019,20389.760734024847,Log-logistic,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,2,-10155.314966633816,20314.62993326763,20328.450024790578,Log-normal,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,3,-10154.012136176474,20314.024272352948,20334.754409637368,Generalised Gamma,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,3,-10148.51487841548,20303.02975683096,20323.75989411538,Spline (1 knot),Head_and_neck,All,Male,Sex,None,CPRD_GOLD
29742.55890410959,5,-10135.6493587435,20281.298717487,20315.84894629437,Spline (3 knots),Head_and_neck,All,Male,Sex,None,CPRD_GOLD
1060.2383561643835,2,-780.7821459544009,1565.5642919088018,1575.0191553585034,Gompertz,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,2,-810.5099321134953,1625.0198642269906,1634.4747276766923,WeibullPH,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,1,-959.4878563255244,1920.9757126510488,1925.7031443758997,Exponential,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,2,-760.705645461428,1525.411290922856,1534.8661543725577,Log-logistic,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,2,-755.4291474471726,1514.8582948943451,1524.3131583440468,Log-normal,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,3,-752.0619795772745,1510.123959154549,1524.3062543291016,Generalised Gamma,Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,3,-752.3837409649909,1510.7674819299818,1524.9497771045344,Spline (1 knot),Liver,All,Female,Sex,None,CPRD_GOLD
1060.2383561643835,5,-749.4609507979833,1508.9219015959666,1532.5590602202208,Spline (3 knots),Liver,All,Female,Sex,None,CPRD_GOLD
2894.5260273972603,2,-2275.8756221085614,4555.751244217123,4567.123568824109,Gompertz,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,2,-2301.930229018786,4607.860458037572,4619.232782644558,WeibullPH,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,1,-2594.510069630628,5191.020139261256,5196.706301564749,Exponential,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,2,-2227.36225907604,4458.72451815208,4470.096842759066,Log-logistic,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,2,-2215.52750869101,4435.05501738202,4446.427341989006,Log-normal,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,3,-2215.5227991915253,4437.045598383051,4454.104085293529,Generalised Gamma,Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,3,-2220.004040200431,4446.008080400862,4463.066567311341,Spline (1 knot),Liver,All,Male,Sex,None,CPRD_GOLD
2894.5260273972603,5,-2215.4406375873086,4440.881275174617,4469.312086692082,Spline (3 knots),Liver,All,Male,Sex,None,CPRD_GOLD
22591.04109589041,2,-17410.885347138224,34825.77069427645,34841.17123261651,Gompertz,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,2,-17925.802317283837,35855.60463456767,35871.00517290773,WeibullPH,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,1,-20003.04828144603,40008.09656289206,40015.79683206209,Exponential,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,2,-17127.281026388275,34258.56205277655,34273.96259111661,Log-logistic,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,2,-17090.29054186879,34184.58108373758,34199.98162207764,Log-normal,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,3,-17086.66333815553,34179.32667631106,34202.42748382115,Generalised Gamma,Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,3,-17077.86666191965,34161.7333238393,34184.83413134939,Spline (1 knot),Lung,All,Female,Sex,None,CPRD_GOLD
22591.04109589041,5,-17033.003956596218,34076.007913192436,34114.509259042585,Spline (3 knots),Lung,All,Female,Sex,None,CPRD_GOLD
22024.383561643837,2,-18039.33695818046,36082.67391636092,36098.3765146025,Gompertz,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,2,-18803.564846930272,37611.129693860545,37626.832292102124,WeibullPH,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,1,-21019.01730641429,42040.03461282858,42047.88591194937,Exponential,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,2,-17744.747946340627,35493.495892681254,35509.198490922834,Log-logistic,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,2,-17798.263753607178,35600.527507214356,35616.230105455936,Log-normal,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,3,-17796.701427109158,35599.402854218315,35622.956751580685,Generalised Gamma,Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,3,-17741.765207759603,35489.530415519206,35513.084312881576,Spline (1 knot),Lung,All,Male,Sex,None,CPRD_GOLD
22024.383561643837,5,-17699.55271315139,35409.10542630278,35448.36192190673,Spline (3 knots),Lung,All,Male,Sex,None,CPRD_GOLD
3405.4712328767123,2,-2567.489256421769,5138.978512843538,5151.615997348923,Gompertz,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,2,-2845.132048614272,5694.264097228544,5706.90158173393,WeibullPH,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,1,-3404.3045707899605,6810.609141579921,6816.927883832614,Exponential,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,2,-2489.1882305058266,4982.376461011653,4995.013945517038,Log-logistic,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,2,-2505.325021324879,5014.650042649758,5027.287527155143,Log-normal,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,3,-2499.6728628027067,5005.3457256054135,5024.30195236349,Generalised Gamma,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,3,-2473.2876485759807,4952.575297151961,4971.531523910038,Spline (1 knot),Pancreatic,All,Female,Sex,None,CPRD_GOLD
3405.4712328767123,5,-2471.367358085588,4952.734716171176,4984.328427434638,Spline (3 knots),Pancreatic,All,Female,Sex,None,CPRD_GOLD
3498.564383561644,2,-2685.510385776876,5375.020771553752,5387.588265047964,Gompertz,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,2,-2944.574259637369,5893.148519274738,5905.71601276895,WeibullPH,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,1,-3497.698143427387,6997.396286854774,7003.6800336018805,Exponential,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,2,-2633.8704270865614,5271.740854173123,5284.3083476673355,Log-logistic,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,2,-2638.5203761791136,5281.040752358227,5293.60824585244,Log-normal,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,3,-2634.9862666382382,5275.9725332764765,5294.8237735177945,Generalised Gamma,Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,3,-2626.004477494684,5258.008954989368,5276.860195230686,Spline (1 knot),Pancreatic,All,Male,Sex,None,CPRD_GOLD
3498.564383561644,5,-2610.9470953497407,5231.894190699481,5263.312924435012,Spline (3 knots),Pancreatic,All,Male,Sex,None,CPRD_GOLD
3824.9013698630138,2,-2551.3213913323516,5106.642782664703,5118.056008492632,Gompertz,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,2,-2641.5764824451253,5287.152964890251,5298.566190718179,WeibullPH,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,1,-3088.226130911437,6178.452261822874,6184.158874736838,Exponential,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,2,-2499.740553011933,5003.481106023866,5014.894331851795,Log-logistic,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,2,-2492.5849465209,4989.1698930418,5000.583118869728,Log-normal,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,3,-2483.5540819174644,4973.108163834929,4990.228002576821,Generalised Gamma,Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,3,-2473.685728440522,4953.371456881044,4970.491295622936,Spline (1 knot),Stomach,All,Female,Sex,None,CPRD_GOLD
3824.9013698630138,5,-2470.4151553276706,4950.830310655341,4979.363375225163,Spline (3 knots),Stomach,All,Female,Sex,None,CPRD_GOLD
6508.994520547945,2,-4509.479297831798,9022.958595663596,9035.438310485633,Gompertz,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,2,-4749.609191110554,9503.218382221108,9515.698097043145,WeibullPH,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,1,-5334.529514171545,10671.05902834309,10677.29888575411,Exponential,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,2,-4469.797894323058,8943.595788646116,8956.075503468153,Log-logistic,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,2,-4471.765647181025,8947.53129436205,8960.011009184087,Log-normal,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,3,-4458.975732671868,8923.951465343736,8942.671037576793,Generalised Gamma,Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,3,-4433.921072821281,8873.842145642562,8892.561717875618,Spline (1 knot),Stomach,All,Male,Sex,None,CPRD_GOLD
6508.994520547945,5,-4419.254641280104,8848.509282560208,8879.7085696153,Spline (3 knots),Stomach,All,Male,Sex,None,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67899.9594637356,135813.9189274712,135878.80142686242,Gompertz,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-67896.31832752979,135806.63665505958,135871.5191544508,WeibullPH,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,6,-67901.25241785865,135814.5048357173,135870.11840662407,Exponential,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68092.95448624998,136199.90897249995,136264.79147189116,Log-logistic,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,7,-68649.44571301549,137312.89142603098,137377.7739254222,Log-normal,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.22214640678,135808.44429281357,135882.59572068925,Generalised Gamma,Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,8,-67896.30818942231,135808.61637884463,135882.7678067203,Spline (1 knot),Breast,80 +,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,70 to 79,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,18 to 39,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,40 to 49,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,50 to 59,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,60 to 69,Both,None,Age,CPRD_GOLD
445377.30136986304,10,-67886.93206875709,135793.86413751417,135886.5534223588,Spline (3 knots),Breast,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62487.28695823293,124988.57391646586,125049.67415520127,Gompertz,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-62099.84433355888,124213.68866711776,124274.78890585317,WeibullPH,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,6,-64522.64725257434,129057.29450514867,129109.66613835045,Exponential,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61978.506758983654,123971.01351796731,124032.11375670272,Log-logistic,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,7,-61859.047140516064,123732.09428103213,123793.19451976754,Log-normal,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61778.10095827527,123572.20191655053,123642.03076081957,Generalised Gamma,Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,8,-61717.01062988696,123450.02125977392,123519.85010404295,Spline (1 knot),Colorectal,80 +,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,70 to 79,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,18 to 39,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,40 to 49,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,50 to 59,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,60 to 69,Both,None,Age,CPRD_GOLD
179101.11232876714,10,-61670.27531682115,123360.5506336423,123447.8366889786,Spline (3 knots),Colorectal,80 +,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,70 to 79,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,18 to 39,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,40 to 49,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,50 to 59,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,60 to 69,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14119.130342465722,28252.260684931443,28303.177833680904,Gompertz,Head_and_neck,80 +,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,70 to 79,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,18 to 39,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,40 to 49,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,50 to 59,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,60 to 69,Both,None,Age,CPRD_GOLD
43366.95890410959,7,-14088.33404627314,28190.66809254628,28241.58524129574,WeibullPH,Head_and_neck,80 +,Both,None,Age,CPRD_GOLD
43366.95890410959,6,-14411.028902583916,28834.05780516783,28877.701075524514,Exponential,Head_and_neck,70 to 79,Both,None,Age,CPRD_GOLD
43366.95890410959,6,-14411.028902583916,28834.05780516783,28877.701075524514,Exponential,Head_and_neck,18 to 39,Both,None,Age,CPRD_GOLD
43366.95890410959,6,-14411.028902583916,28834.05780516783,28877.701075524514,Exponential,Head_and_neck,40 to 49,Both,None,Age,CPRD_GOLD
43366.95890410959,6,-14411.028902583916,28834.05780516783,28877.701075524514,Exponential,Head_and_neck,50 to 59,Both,None,Age,CPRD_GOLD
43366.95890410959,6,-14411.028902583916,28834.05780516783,28877.701075524514,Exponential,Head_and_neck,60 to 69,Both,None,Age,CPRD_GOLD
